Sample	Isolate_Name	Subtype	Clade	Passage_History	Location	Host	Collection_Date
EPI4379240	A/Bavaria/6493751/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Germany / Bavaria	Human	2025-02-03
EPI4783970	A/Madagascar/03676/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Africa / Madagascar / Sofia	Human	2025-10-20
EPI4304293	A/Madagascar/01078/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Africa / Madagascar / Analamanga	Human	2025-04-01
EPI3629301	A/Madagascar/02845/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Africa / Madagascar / Haute Matsiatra	Human	2024-09-15
EPI4386549	A/Spain/VC-CVA_PES-001907/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Europe / Spain / Valencian Community / Valencia	Human	2025-01-04
EPI4190033	A/SWITZERLAND/UN-SNRCI-HUG-47088280/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Switzerland	Human	2025-01-27
EPI4885469	A/NovaScotia/ET1108CP00062U/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / Canada / Nova Scotia	Human	2025-11-08
EPI4384980	A/NovaScotia/NT0104CP00003S/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		North America / Canada / Nova Scotia	Human	2025-04-01
EPI4782132	A/California/SMCPHL-988/2025	A / H3N2	3C.2a1b.2a.2a.3b		North America / United States / California / San Mateo County	Human	2025-02-03
EPI4245829	A/Vietnam/FP225035/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Vietnam / Tinh Quang Ninh	Human	2025-04-02
EPI4245779	A/Vietnam/FP425102/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Vietnam / Thu Do Ha Noi	Human	2025-01-16
EPI4245717	A/Vietnam/FP425001/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Vietnam / Thu Do Ha Noi	Human	2025-01-16
EPI4245641	A/Vietnam/FP325105/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Vietnam / Tinh Lao Cai	Human	2025-03-14
EPI3679555	A/Vietnam/PF124483/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Vietnam / Thanh Pho Hai Phong	Human	2024-11-04
EPI3581440	A/Vietnam/PF224225/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Vietnam / Thanh Pho Hai Phong	Human	2024-06-18
EPI3494836	A/Vietnam/PF124082/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Vietnam / Thanh Pho Hai Phong	Human	2024-03-31
EPI4637373	A/Bangkok/AST-021/2023	A / H3N2	3C.2a1b.2a.2a.3a.1		Asia / Thailand	Human	2023-07-26
EPI3351844	A/Douala/23V-8444/2023	A / H3N2	3C.2a1b.2a.2a.3a.1		Africa / Cameroon / Littoral Province	Human	2023-09-14
EPI4900202	A/France/BRE-IPP07757/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K	original	Europe / France / Bretagne	Human	2025-12-01
EPI4291751	A/France/HDF-RELAB-IPP04212/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / France / Hauts-de-France	Human	2025-04-03
EPI4291413	A/France/BFC-RELAB-IPP04052/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	original	Europe / France / Bourgogne-Franche-Comte	Human	2025-03-27
EPI4843303	A/Kenya/MSA10078/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Africa / Kenya / Nairobi Area	Human	2025-08-06
EPI4841589	A/Kenya/NAK13453/2025	A / H3N2	3C.2a1b.2a.2a.3a.1 / K		Africa / Kenya / Nairobi Area	Human	2025-11-12
EPI4782513	A/Kenya/IRH16237/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Africa / Kenya / Nairobi Area	Human	2025-10-07
EPI3012195	A/Kenya/5192/2023	A / H3N2	3C.2a1b.2a.2a.3a.1		Africa / Kenya / North Eastern Province / Daadab	Human	2023-10-23
EPI2898111	A/Michigan/UM-L371447809/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Michigan	Human	2023-11-19
EPI2897727	A/Michigan/UM-L371576659/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Michigan	Human	2023-11-25
EPI2897279	A/Michigan/UM-L370612818/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Michigan	Human	2023-10-26
EPI2896536	A/Michigan/UM-10054685345/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Michigan	Human	2023-11-30
EPI2895842	A/Michigan/UM-L372221815/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Michigan	Human	2023-12-10
EPI4238330	A/Galicia/SCQ/147629/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Spain / A Coru?a	Human	2025-03-10
EPI4210020	A/Galicia/SCQ/144934/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Spain / A Coru?a	Human	2025-03-05
EPI4561530	A/Mexico City/INER-INF_378/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Mexico	Human	2025-01-13
EPI4561184	A/Mexico City/INER-INF_333/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Mexico	Human	2024-12-23
EPI4561164	A/Mexico City/INER-INF_330/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Mexico	Human	2024-12-20
EPI4561108	A/Mexico City/INER-INF_323/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Mexico	Human	2024-12-17
EPI4062420	A/Mexico City/INER-INF_249/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Mexico / Federal District	Human	2024-11-14
EPI4319172	A/Lisboa/309/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Portugal	Human	2025-01-07
EPI4232419	A/Lisboa/99/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Europe / Portugal	Human	2025-02-14
EPI2874529	A/Michigan/CEIRS-0347296/2023	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / United States / Michigan	Human	2023-03-16
EPI2874463	A/Michigan/CEIRS-9755705/2023	A / H3N2	3C.2a1b.2a.2b	Original	North America / United States / Michigan	Human	2023-02-08
EPI2920018	A/SAO PAULO/59646/2022	A / H3N2	3C.2a1b.2a.2b	Original	South America / Brazil / Estado de Sao Paulo / Ribeirao Preto	Human	2022-09-27
EPI4624325	A/South Africa/PET36397/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original�	Africa / South Africa / Gauteng	Human	2025-04-10
EPI4624300	A/South Africa/PET36350/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original�	Africa / South Africa / Gauteng	Human	2025-04-07
EPI4623327	A/South Africa/PET37157/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original�	Africa / South Africa / Gauteng	Human	2025-05-19
EPI4363567	A/Ukraine/3657/2025	A / H3N2	3C.2a1b.2a.2a.3a.1		Europe / Ukraine / Kyiv region	Human	2025-02-24
EPI4750737	A/British_Columbia/PHL-2466/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	North America / Canada / British Columbia	Human	2025-08-01
EPI4390092	A/Alagoas/975/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado de Alagoas / Maceio	Human	2025-03-21
EPI3398669	A/Alagoas/8016/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado de Alagoas / Maceio	Human	2024-05-24
EPI3215229	A/Sao Paulo/2683/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	South America / Brazil / Estado de Sao Paulo / Sao Paulo	Human	2024-02-16
EPI4809210	A/Oman/CPHL_7253093/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Oman / NORTH BATINAH	Human	2025-05-22
EPI4809170	A/Oman/CPHL_7253078/2025	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Oman / SOUTH SHARQIYAH	Human	2025-05-21
EPI3735976	A/Oman/CPHL_52422154/2024	A / H3N2	3C.2a1b.2a.2a.3a.1	Original	Asia / Oman / NORTH SHARQIYAH	Human	2024-08-04
